name,city,province,certification_date,certifier
CASTEL MONTE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Preganziol,TV,16-01-2026,SGS ICS ITALIA S.R.L.
CASTEL MONTE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Cavaso Del Tomba,TV,16-01-2026,SGS ICS ITALIA S.R.L.
CASTEL MONTE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Montebelluna,TV,16-01-2026,SGS ICS ITALIA S.R.L.
Cattel s.p.a. Società Unipersonale,Jesolo,VE,24-12-2024,SI CERT ITALY S.r.l.
Cattel s.p.a. Società Unipersonale,Venezia,VE,24-12-2024,SI CERT ITALY S.r.l.
Cattel s.p.a. Società Unipersonale,Noventa di Piave,VE,24-12-2024,SI CERT ITALY S.r.l.
CBRE GWS SRL,VERONA,VR,21-08-2024,Bureau Veritas Certification Holding SAS Italy Branch
CBRE GWS SRL,PADOVA,PD,21-08-2024,Bureau Veritas Certification Holding SAS Italy Branch
CBRE S.r.l.,San Biagio Di Callalta,TV,21-11-2024,DASA RÄGISTER S.p.A.
CBS S.r.l.,Belfiore,VR,30-12-2024,"Perry Johnson Registrars, Inc."
C.C.I.A.A. DI TREVISO - BELLUNO,BELLUNO,BL,09-12-2024,CERTIQUALITY S.r.l.
C.C.I.A.A. DI TREVISO - BELLUNO,TREVISO,TV,09-12-2024,CERTIQUALITY S.r.l.
C.C.I.A.A. DI TREVISO - BELLUNO,CONEGLIANO,TV,09-12-2024,CERTIQUALITY S.r.l.
C.D.L. - COOPERATIVA SOCIALE,SAN BONIFACIO,VR,09-01-2026,RINA Services S.p.A.
CDS S.R.L.,JESOLO,VE,28-11-2025,ACM Cert S.r.l.
CDS S.R.L.,VICENZA,VI,28-11-2025,ACM Cert S.r.l.
CDS S.R.L.,VENEZIA,VE,28-11-2025,ACM Cert S.r.l.
Ceccato Automobili S.p.A.,Castelfranco Veneto,TV,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Bassano del Grappa,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Padova,PD,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Thiene,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Schio,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Marano Vicentino,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Altavilla Vicentina,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Carrè,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Vicenza,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Albignasego,PD,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Verona,VR,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Montecchio Maggiore,VI,23-12-2024,DNV Business Assurance Italy S.r.l.
Ceccato Automobili S.p.A.,Villorba,TV,23-12-2024,DNV Business Assurance Italy S.r.l.
CELEGATO S.r.l.,Lughetto Di Campagna Lupia,VE,30-11-2025,SGS ICS ITALIA S.R.L.
CELEGATO S.r.l.,Mira,VE,30-11-2025,SGS ICS ITALIA S.R.L.
Cellnex Italia S.p.A.,Marghera,VE,01-07-2022,DNV Business Assurance Italy S.r.l.
CENEDESE S.P.A.,SILEA,TV,20-11-2024,QUALITY ITALIA S.r.l.
Centervue S.p.A.,Padova,PD,03-12-2025,DNV Business Assurance Italy S.r.l.
Centro Commeciale Ramonda S.p.A.,Montecchio Maggiore,VI,04-12-2024,DASA RÄGISTER S.p.A.
Centro Commeciale Ramonda S.p.A.,Cerea,VR,04-12-2024,DASA RÄGISTER S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",SILEA,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",VENEZIA,VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",SCORZE',VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",ISTRANA,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",QUINTO DI TREVISO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",MARTELLAGO,VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",PIAVE,VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",TREVIGNANO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",SPINEA,VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",TREVISO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",PONZANO VENETO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",ZEROBRANCO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",MOGLIANO VENETO,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",VILLORBA,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",PREGANZIOL,TV,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",MIRANO,VE,18-12-2024,RINA Services S.p.A.
"CENTROMARCA BANCA - CREDITO COOPERATIVO DI TREVISO E VENEZIA, SOCIETA' COOPERATIVA PER AZIONI",MASERADA SUL PIAVE,TV,18-12-2024,RINA Services S.p.A.
Centro Servizi Associati Cooperativa Sociale Onlus,San Vendemiano,TV,23-10-2025,SI CERT ITALY S.r.l.
Centro Servizi Associati Cooperativa Sociale Onlus,Conegliano,TV,23-10-2025,SI CERT ITALY S.r.l.
CENTRUFFICIO LORETO SPA,PADOVA,PD,01-08-2024,IMQ S.p.A.
CENTRUFFICIO LORETO SPA,VERONA,VR,01-08-2024,IMQ S.p.A.
CENTRUFFICIO LORETO SPA,VICENZA,VI,01-08-2024,IMQ S.p.A.
CERAMICA DOLOMITE S.p.A.,BORGO VALBELLUNA,BL,10-12-2024,CERTIQUALITY S.r.l.
CEREA SPA,CEREA,VR,15-11-2024,IMQ S.p.A.
CERVED GROUP S.P.A.,VILLORBA,TV,07-08-2024,RINA Services S.p.A.
CERVED GROUP S.P.A.,PADOVA,PD,07-08-2024,RINA Services S.p.A.
Cesare Regnoli & Figlio S.r.l.,Ariano nel Polesine,RO,28-12-2023,SI CERT ITALY S.r.l.
Cesaro Mac. Import S.r.l.,Eraclea,VE,19-12-2023,DASA RÄGISTER S.p.A.
CESTARO FONDERIE S.P.A.,Monticello Conte Otto,VI,30-12-2024,SGS ICS ITALIA S.R.L.
CESTARO FONDERIE S.P.A.,Bressanvido,VI,30-12-2024,SGS ICS ITALIA S.R.L.
C.E.V. CONSORZIO EDILI VENETI SOCIETA’ COOPERATIVA,PIOVE DI SACCO,PD,12-09-2025,SMC Società Mediterranea Certificazioni S.p.A.
C.E.V. S.p.A.,Treviso,TV,03-06-2025,SI CERT ITALY S.r.l.
C & F COSTRUZIONI S.R.L.,Verona,VR,12-07-2024,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
CGC S.R.L.,ALTAVILLA VICENTINA,VI,30-05-2025,SMC Società Mediterranea Certificazioni S.p.A.
CGC S.R.L.,ZIMELLA,VR,30-05-2025,SMC Società Mediterranea Certificazioni S.p.A.
C.G.X. COSTRUZIONI GENERALI XODO S.R.L.,PORTO VIRO,RO,24-04-2024,ACM Cert S.r.l.
CHEF EXPRESS S.P.A.,COLCERESA,VI,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,VERONA,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,SILEA,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,TREVISO,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,VICENZA,VI,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,SAN GIOVANNI LUPATOTO,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,ROVIGO,RO,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,NOVENTA DI PIAVE,VE,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,TORRI DI QUARTESOLO,VI,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,SONA,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,SOMMACAMPAGNA,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,CONEGLIANO,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,BELLUNO,BL,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,COMUNE DI CASALE SUL SILE,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,CESSALTO,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,PADOVA,PD,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,PESCHIERA DEL GARDA,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,BUSSOLENGO,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,MESTRE,VE,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,AFFI,VR,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,VENEZIA,VE,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,FOSSALTA DI PORTOGRUARO,VE,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,SAN FIOR,TV,09-04-2025,RINA Services S.p.A.
CHEF EXPRESS S.P.A.,MONTECCHIO MAGGIORE,VI,09-04-2025,RINA Services S.p.A.
CHELAB SRL,RESANA,TV,27-06-2024,Bureau Veritas Certification Holding SAS Italy Branch
CHELAB SRL,PESCANTINA,VR,27-06-2024,Bureau Veritas Certification Holding SAS Italy Branch
CHEMIL S.r.l.,Brugine,PD,04-04-2025,KIWA CERMET Italia S.p.A.
CHEMIL S.r.l.,Padova,PD,04-04-2025,KIWA CERMET Italia S.p.A.
CHERRY BANK SPA,Monteviale,VI,15-09-2025,DNV Business Assurance Italy S.r.l.
CHERRY BANK SPA,TREVISO,TV,15-09-2025,DNV Business Assurance Italy S.r.l.
CHERRY BANK SPA,Padova,PD,15-09-2025,DNV Business Assurance Italy S.r.l.
CHERRY BANK SPA,VERONA,VR,15-09-2025,DNV Business Assurance Italy S.r.l.
CHERRY BANK SPA,Mestre,VE,15-09-2025,DNV Business Assurance Italy S.r.l.
CHERRY BANK SPA,Venezia,VE,15-09-2025,DNV Business Assurance Italy S.r.l.
CHIMAR SPA,VILLORBA,TV,05-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
CHIMAR SPA,TREVIGNANO,TV,05-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
CHIMAR SPA,PAESE,TV,05-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
CHIMAR SPA,PADOVA,PD,05-11-2024,Bureau Veritas Certification Holding SAS Italy Branch
Chimar srl,Cadoneghe,PD,20-11-2024,SI CERT ITALY S.r.l.
CHI.MA. S.R.L.,VENEZIA,VE,22-10-2025,CERTIQUALITY S.r.l.
CHIURLO TEC S.R.L.,VICENZA,VI,10-05-2024,SMC Società Mediterranea Certificazioni S.p.A.
CHS S.r.l.,Belluno,BL,19-09-2024,KIWA CERMET Italia S.p.A.
CHS S.r.l.,Vigonza,PD,19-09-2024,KIWA CERMET Italia S.p.A.
C.I.D.A.S. Soc. Coop. a r.l.,Pontecchio Polesine,RO,28-10-2024,UNITER S.r.l.
C.I.D.A.S. Soc. Coop. a r.l.,Porto Tolle,RO,28-10-2024,UNITER S.r.l.
C.I.D.A.S. Soc. Coop. a r.l.,Occhiobello,RO,28-10-2024,UNITER S.r.l.
CI.GI.ESSE S.R.L.,MASERA' DI PADOVA,PD,21-05-2025,QUALITY ITALIA S.r.l.
CIMOLAI S.P.A.,PADOVA,PD,20-02-2025,SMC Società Mediterranea Certificazioni S.p.A.
C.I.MO.TER. S.r.l.,Rovigo,RO,24-11-2025,TUV AUSTRIA ITALIA S.p.A.
CIRFOOD S.C,PADOVA,PD,27-11-2023,Bureau Veritas Certification Holding SAS Italy Branch
CISALPINA TOURS S.p.A.,Padova,PD,17-09-2024,TUV Thuringen Italia S.r.l.
CISALPINA TOURS S.p.A.,Verona,VR,17-09-2024,TUV Thuringen Italia S.r.l.
CITTADINI DELL’ORDINE S.P.A.,VERONA,VR,09-12-2024,SMC Società Mediterranea Certificazioni S.p.A.
CITY GREEN LIGHT S.p.A.,Vicenza,VI,19-10-2023,DNV Business Assurance Italy S.r.l.
CITY GREEN LIGHT S.p.A.,Santa Maria di Sala,VE,19-10-2023,DNV Business Assurance Italy S.r.l.
C.I.V.I.S. S.p.A.,Verona,VR,30-01-2024,QUASER CERTIFICAZIONI S.r.l.
C.I.V.I.S. S.p.A.,Vicenza,VI,30-01-2024,QUASER CERTIFICAZIONI S.r.l.
C.I.V.I.S. S.p.A.,Venezia,VE,30-01-2024,QUASER CERTIFICAZIONI S.r.l.
C.I.V.I.S. S.p.A.,Rovigo,RO,30-01-2024,QUASER CERTIFICAZIONI S.r.l.
CLEA - IMPRESA COOPERATIVA DI COSTRUZIONI GENERALI S.C.,PIOVE DI SACCO,PD,04-07-2024,APAVE CERTIFICATION ITALIA S.r.l.
CLEA - IMPRESA COOPERATIVA DI COSTRUZIONI GENERALI S.C.,CAMPOLONGO MAGGIORE,VE,04-07-2024,APAVE CERTIFICATION ITALIA S.r.l.
Clerprem S.p.A.,CARRE',VI,27-12-2023,CSQA Certificazioni S.r.l.
CLIMOSFERA S.r.l.,Villorba,TV,21-06-2024,KIWA CERMET Italia S.p.A.
CLINI-LAB S.r.l.,CONSELVE,PD,03-07-2025,TÜV Italia S.r.l.
CLINI-LAB S.r.l.,Conselve,PD,03-07-2025,TÜV Italia S.r.l.
C.M. SERVICE S.R.L.,Cavallino Treporti,VE,07-11-2022,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
CNA PADOVA E ROVIGO,PADOVA,PD,18-12-2023,CSQA Certificazioni S.r.l.
CNA PADOVA E ROVIGO,ROVIGO,RO,18-12-2023,CSQA Certificazioni S.r.l.
CO.BIT S.r.l.,Sona,VR,02-12-2025,CERTITALIA S.r.l.
Codess Sociale Società Cooperativa Sociale,Spinea,VE,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,San Martino Buon Albergo,VR,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Venezia,VE,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Padova,PD,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Verona,VR,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Solesino,PD,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Gruaro,VE,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Vicenza,VI,07-03-2024,UNITER S.r.l.
Codess Sociale Società Cooperativa Sociale,Mogliano Veneto,TV,07-03-2024,UNITER S.r.l.
COELME COSTRUZIONI ELETTROMECCANICHE SPA,SANTA MARIA DI SALA,VE,17-12-2025,IMQ S.p.A.
COGES S.p.A.,Caldogno,VI,07-12-2025,SGS ICS ITALIA S.R.L.
COGNE ACCIAI SPECIALI,Mirano,VE,11-07-2025,INTERTEK ITALIA S.p.A.
CO.I.MA. - COSTRUZIONI IDRAULICHE MARANGONI - S.R.L.,CAMISANO VICENTINO,VI,30-12-2024,RINA Services S.p.A.
Coin Service Nord S.p.A.,Padova,PD,22-07-2024,DASA RÄGISTER S.p.A.
COLOGNA SCAVI S.R.L.,COLOGNA VENETA,VR,21-07-2025,SMC Società Mediterranea Certificazioni S.p.A.
COLOGNA SCAVI S.R.L.,VICENZA,VI,21-07-2025,SMC Società Mediterranea Certificazioni S.p.A.
COLOGNA SCAVI S.R.L.,MONTECCHIO MAGGIORE,VI,21-07-2025,SMC Società Mediterranea Certificazioni S.p.A.
COMETA S.P.A.,PADOVA,PD,01-12-2025,ICDQ S.r.l.
COMITEL S.R.L.,VERONA,VR,11-06-2024,SUSTAINY S.r.l. a Socio unico
Commerciale Gasparini S.r.l.,SCHIO,VI,22-04-2025,CSQA Certificazioni S.r.l.
Commerciale Gasparini S.r.l.,PIOVENE ROCCHETTE,VI,22-04-2025,CSQA Certificazioni S.r.l.
Commerciale Gasparini S.r.l.,ZANE',VI,22-04-2025,CSQA Certificazioni S.r.l.
Commerciale Gasparini S.r.l.,THIENE,VI,22-04-2025,CSQA Certificazioni S.r.l.
Commerciale Gasparini S.r.l.,MARANO VICENTINO,VI,22-04-2025,CSQA Certificazioni S.r.l.
COMMISSIONE SINODALE PER LA DIACONIA,Venezia,VE,27-04-2023,Bureau Veritas Certification Holding SAS Italy Branch
Computer Gross S.p.A.,Verona,VR,22-01-2024,SA CERTIFICATION S.r.l.
Computer Gross S.p.A.,Padova,PD,22-01-2024,SA CERTIFICATION S.r.l.
Comune di San Donà di Piave,San Donà di Piave,VE,23-10-2025,UNITER S.r.l.
Comunità “Ca’ Mosaico”,VICENZA,VI,28-05-2024,CSQA Certificazioni S.r.l.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,SPINEA,VE,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,SCORZE',VE,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,MIRANO,VE,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,MARGHERA,VE,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,PREGANZIOL,TV,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,PADOVA,PD,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.p.a.,ORIAGO DI MIRA,VE,15-07-2024,RINA Services S.p.A.
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,DOLO,VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,MIRA,VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,MIRANO,VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,VENEZIA,VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,PREGANZIOL,TV,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,SPINEA,VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,SCORZE',VE,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
CONCESSIONI AUTOSTRADALI VENETE - CAV S.P.A.,PADOVA,PD,27-12-2023,Bureau Veritas Certification Holding SAS Italy Branch
Confartigianato Imprese AsoloMontebelluna,Trevignano,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Imprese AsoloMontebelluna,Asolo,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Imprese AsoloMontebelluna,San Zenone degli Ezzelini,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Imprese AsoloMontebelluna,Pieve del Grappa,TV,03-08-2023,ECO European Certifying Organization S.p.A.
CONFARTIGIANATO IMPRESE PADOVA,PADOVA,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA FORMAZIONE S.R.L.,SARMEOLA DI RUBANO,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA FORMAZIONE S.R.L.,PADOVA,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA IMMOBILIARE S.R.L.,PADOVA,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,San Martino di Lupari,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Cittadella,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Piove di Sacco,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Camposampiero,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Abano Terme,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Este,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Montagnana,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Conselve,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Padova,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Albignasego,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Villa del Conte,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Campodarsego,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Monselice,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Piazzola Sul Brenta,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Casale di Scodosia,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Vigonza,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Legnaro,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Sarmeola di Rubano,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Carmignano di Brenta,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Limena,PD,15-12-2023,ICIM S.p.A.
CONFARTIGIANATO IMPRESE PADOVA SERVIZI S.P.A.,Piombino Dese,PD,15-12-2023,ICIM S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,San Zenone degli Ezzelini,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,Asolo,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,Montebelluna,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,Giavera del Montello,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,Trevignano,TV,03-08-2023,ECO European Certifying Organization S.p.A.
Confartigianato Servizi AsoloMontebelluna S.r.l.,Pieve del Grappa,TV,03-08-2023,ECO European Certifying Organization S.p.A.
CONFARTIGIANATO SERVIZI BELLUNO S.r.l.,BELLUNO,BL,24-11-2023,SGS ICS ITALIA S.R.L.
CONFINDUSTRIA DOLOMITI BELLUNO,Belluno,BL,28-02-2025,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
CONFINDUSTRIA VENETO EST,TREVISO,TV,01-08-2024,CERTIQUALITY S.r.l.
CONFINDUSTRIA VENETO EST,ROVIGO,RO,01-08-2024,CERTIQUALITY S.r.l.
CONFINDUSTRIA VENETO EST,PADOVA,PD,01-08-2024,CERTIQUALITY S.r.l.
CONFINDUSTRIA VENETO EST,MARGHERA,VE,01-08-2024,CERTIQUALITY S.r.l.
CONFINDUSTRIA VICENZA,SCHIO,VI,10-04-2024,Bureau Veritas Certification Holding SAS Italy Branch
CONFINDUSTRIA VICENZA,BASSANO DEL GRAPPA,VI,10-04-2024,Bureau Veritas Certification Holding SAS Italy Branch
CONFINDUSTRIA VICENZA,VICENZA,VI,10-04-2024,Bureau Veritas Certification Holding SAS Italy Branch
CONFORM - CONSULENZA FORMAZIONE E MANAGEMENT SOCIETÀ CONSORTILE A RESPONSABILITÀ LIMITATA,Padova,PD,04-08-2023,GCERTI ITALY ASSESSMENT & CERTIFICATION S.r.l. Società Benefit
CONOR VENETO SRL,Padova,PD,27-12-2023,UNITER S.r.l.
CONSILIA CFO SRL,PADOVA,PD,30-11-2023,AFNOR ITALIA S.r.l.
CONSOFT INFORMATICA - SOCIETA' A RESPONSABILITA' LIMITATA,PADOVA,PD,05-12-2025,Progetto Costruzione Qualità - P.C.Q. S.r.l.
Consoli S.p.A.,Padova,PD,17-04-2023,SI CERT ITALY S.r.l.
CONSORZIO ART.E.A. ALTO VICENTINO,SANTORSO,VI,24-07-2024,AENOR ITALIA S.R.L.
Consorzio Eurobus Verona Soc. Coop.,Verona,VR,25-03-2024,ANCIS S.r.l.
Consorzio INSIEME - Consorzio fra cooperative sociali - Società cooperativa sociale,Padova,PD,24-01-2024,UNITER S.r.l.
CONSORZIO SOCIALE UNITARIO G. ZORZETTO SOCIETÀ COOPERATIVA SOCIALE,MESTRE,VE,09-12-2025,IMQ S.p.A.
CONSORZIO STABILE ODOS SOCIETA’ CONSORTILE A R.L.,Verona,VR,17-11-2023,CERTIFICA S.r.l.
